time,head_movement,leg_movement,tail_movement,wing_movement,head_movement_time_span,head_movement_time_start,leg_movement_time_span,leg_movement_time_start,wing_movement_time_span,wing_movement_time_start,tail_movement_time_span,tail_movement_time_start
115.0,,,,,,,,,,,,
116.0,,,,,,,,,,,,
117.0,,,,,,,,,,,,
118.0,,,,,,,,,,,,
119.0,True,,True,,115.0,5.0,,,,,119.0,1.0
120.0,,True,,True,,,120.0,1.0,120.0,1.0,,
121.0,,,,,,,,,,,,
122.0,,,,,,,,,,,,
123.0,,,,,,,,,,,,
124.0,,,,,,,,,,,,
125.0,True,,,,121.0,5.0,,,,,,
126.0,,,,,,,,,,,,
127.0,,,,,,,,,,,,
128.0,,,,,,,,,,,,
129.0,,,,,,,,,,,,
130.0,,,,,,,,,,,,
131.0,,,,,,,,,,,,
132.0,,,,,,,,,,,,
133.0,,,,,,,,,,,,
134.0,,,,,,,,,,,,
135.0,True,,,,131.0,5.0,,,,,,
136.0,,,,,,,,,,,,
137.0,,,,,,,,,,,,
138.0,,,,,,,,,,,,
139.0,,,,,,,,,,,,
140.0,True,,,,140.0,1.0,,,,,,
141.0,,,,,,,,,,,,
142.0,,,,,,,,,,,,
143.0,,,,,,,,,,,,
144.0,,,,,,,,,,,,
145.0,,,True,,,,,,,,121.0,25.0
146.0,True,,,,145.0,2.0,,,,,,
147.0,,,,,,,,,,,,
148.0,,,,,,,,,,,,
149.0,,,,,,,,,,,,
150.0,,,True,,,,,,,,147.0,4.0
151.0,True,,,,150.0,2.0,,,,,,
152.0,,,,,,,,,,,,
153.0,,,,,,,,,,,,
154.0,,,,,,,,,,,,
155.0,,,,,,,,,,,,
156.0,True,,,,156.0,1.0,,,,,,
157.0,,,,,,,,,,,,
158.0,,,,,,,,,,,,
159.0,,,,,,,,,,,,
160.0,,,,,,,,,,,,
161.0,True,,True,,161.0,1.0,,,,,157.0,5.0
162.0,,,,,,,,,,,,
163.0,,,,,,,,,,,,
164.0,,,,,,,,,,,,
165.0,,,,,,,,,,,,
166.0,True,,,,166.0,1.0,,,,,,
167.0,,,,,,,,,,,,
168.0,,,,,,,,,,,,
169.0,,,,,,,,,,,,
170.0,,,,,,,,,,,,
171.0,,,True,,,,,,,,167.0,5.0
172.0,True,,,,172.0,1.0,,,,,,
173.0,,,,,,,,,,,,
174.0,True,,,,174.0,1.0,,,,,,
175.0,,,True,,,,,,,,173.0,3.0
176.0,,,,,,,,,,,,
177.0,True,,True,,176.0,2.0,,,,,177.0,1.0
178.0,,,,,,,,,,,,
179.0,True,,,,179.0,1.0,,,,,,
180.0,,,,,,,,,,,,
181.0,,,,,,,,,,,,
182.0,True,,True,,181.0,2.0,,,,,182.0,1.0
183.0,,,,,,,,,,,,
184.0,,,,,,,,,,,,
185.0,,,,,,,,,,,,
186.0,,,,,,,,,,,,
187.0,True,,,,187.0,1.0,,,,,,
188.0,,,True,,,,,,,,184.0,5.0
189.0,,,,,,,,,,,,
190.0,True,,True,,190.0,1.0,,,,,190.0,1.0
191.0,,,,,,,,,,,,
192.0,True,,,,192.0,1.0,,,,,,
193.0,,,,,,,,,,,,
194.0,,,True,,,,,,,,194.0,1.0
195.0,,,,,,,,,,,,
196.0,,,,,,,,,,,,
197.0,,,,,,,,,,,,
198.0,True,,,,198.0,1.0,,,,,,
199.0,,,,,,,,,,,,
200.0,,,,,,,,,,,,
201.0,True,,True,,201.0,1.0,,,,,200.0,2.0
202.0,,,,,,,,,,,,
203.0,,,,,,,,,,,,
204.0,True,,True,,203.0,2.0,,,,,204.0,1.0
205.0,,,,,,,,,,,,
206.0,,,,,,,,,,,,
207.0,,,,,,,,,,,,
208.0,,,True,,,,,,,,208.0,1.0
209.0,True,,,,209.0,1.0,,,,,,
210.0,,,,,,,,,,,,
211.0,,,,,,,,,,,,
212.0,,,,,,,,,,,,
213.0,,,,,,,,,,,,
214.0,True,,True,,214.0,1.0,,,,,211.0,4.0
215.0,,,,,,,,,,,,
216.0,,,,,,,,,,,,
217.0,,,,,,,,,,,,
218.0,,,,,,,,,,,,
219.0,,,,,,,,,,,,
220.0,,,,,,,,,,,,
221.0,,,,,,,,,,,,
222.0,,,,,,,,,,,,
223.0,,,True,,,,,,,,218.0,6.0
224.0,,,,,,,,,,,,
225.0,,,,,,,,,,,,
226.0,,,,,,,,,,,,
227.0,,,,,,,,,,,,
228.0,,,,,,,,,,,,
229.0,,,True,,,,,,,,227.0,3.0
230.0,True,,,,221.0,10.0,,,,,,
231.0,,,True,,,,,,,,231.0,1.0
232.0,True,,,,232.0,1.0,,,,,,
233.0,,,True,,,,,,,,233.0,1.0
234.0,,,,,,,,,,,,
235.0,,,True,,,,,,,,235.0,1.0
236.0,,,,,,,,,,,,
237.0,,,,,,,,,,,,
238.0,,,,,,,,,,,,
239.0,,,True,,,,,,,,237.0,3.0
240.0,True,,,,236.0,5.0,,,,,,
241.0,,,True,,,,,,,,241.0,1.0
242.0,,,,,,,,,,,,
243.0,,,True,,,,,,,,243.0,1.0
244.0,,,,,,,,,,,,
245.0,True,,True,,243.0,3.0,,,,,245.0,1.0
246.0,,,,,,,,,,,,
247.0,,,,,,,,,,,,
248.0,,,,,,,,,,,,
249.0,,,True,,,,,,,,247.0,3.0
250.0,,,,,,,,,,,,
251.0,,,True,,,,,,,,251.0,1.0
252.0,True,,,,252.0,1.0,,,,,,
253.0,,,,,,,,,,,,
254.0,,,True,,,,,,,,254.0,1.0
255.0,,,,,,,,,,,,
256.0,,,True,,,,,,,,256.0,1.0
257.0,,,,,,,,,,,,
258.0,,,,,,,,,,,,
259.0,,,,,,,,,,,,
260.0,True,,True,,256.0,5.0,,,,,260.0,1.0
261.0,,,,,,,,,,,,
262.0,,,True,,,,,,,,262.0,1.0
263.0,True,,,,263.0,1.0,,,,,,
264.0,,,,,,,,,,,,
265.0,,,,,,,,,,,,
266.0,,,True,,,,,,,,266.0,1.0
267.0,True,,,,265.0,3.0,,,,,,
268.0,,,True,,,,,,,,268.0,1.0
269.0,,,,,,,,,,,,
270.0,,,,,,,,,,,,
271.0,,,,,,,,,,,,
272.0,,,True,,,,,,,,272.0,1.0
273.0,,,,,,,,,,,,
274.0,True,,True,,273.0,2.0,,,,,274.0,1.0
275.0,,,,,,,,,,,,
276.0,,,,,,,,,,,,
277.0,True,,True,,276.0,2.0,,,,,277.0,1.0
278.0,,,,,,,,,,,,
279.0,,,,,,,,,,,,
280.0,,,,,,,,,,,,
281.0,,,,,,,,,,,,
282.0,,,,,,,,,,,,
283.0,,,,,,,,,,,,
284.0,True,,True,,279.0,6.0,,,,,284.0,1.0
285.0,,,,,,,,,,,,
286.0,,,,,,,,,,,,
287.0,True,,True,,286.0,2.0,,,,,287.0,1.0
288.0,,,,,,,,,,,,
289.0,,,True,,,,,,,,289.0,1.0
290.0,,,,,,,,,,,,
291.0,True,,,,291.0,1.0,,,,,,
292.0,,,True,,,,,,,,291.0,2.0
293.0,,,,,,,,,,,,
294.0,,,,,,,,,,,,
295.0,,,,,,,,,,,,
296.0,,,,,,,,,,,,
297.0,,,,,,,,,,,,
298.0,True,,True,,297.0,2.0,,,,,298.0,1.0
299.0,,,,,,,,,,,,
300.0,,,,,,,,,,,,
301.0,,,,,,,,,,,,
302.0,,,,,,,,,,,,
303.0,,,,,,,,,,,,
304.0,,,,,,,,,,,,
305.0,,,,,,,,,,,,
306.0,,,,,,,,,,,,
307.0,,,,,,,,,,,,
308.0,True,,,,302.0,7.0,,,,,,
309.0,,,True,,,,,,,,303.0,7.0
310.0,,,,,,,,,,,,
311.0,True,,True,,311.0,1.0,,,,,311.0,1.0
312.0,,,,,,,,,,,,
313.0,,,,,,,,,,,,
314.0,,,True,,,,,,,,314.0,1.0
315.0,,,,,,,,,,,,
316.0,,,,,,,,,,,,
317.0,,,,,,,,,,,,
318.0,,,,,,,,,,,,
319.0,True,,,,313.0,7.0,,,,,,
320.0,,,,,,,,,,,,
321.0,,,True,,,,,,,,321.0,1.0
322.0,,,,,,,,,,,,
323.0,True,,True,,323.0,1.0,,,,,323.0,1.0
324.0,,,,,,,,,,,,
325.0,,,,,,,,,,,,
326.0,,,,,,,,,,,,
327.0,,,,,,,,,,,,
328.0,,,,,,,,,,,,
329.0,True,,True,,325.0,5.0,,,,,325.0,5.0
330.0,,True,,,,,152.0,179.0,,,,
331.0,,,,,,,,,,,,
332.0,,,,,,,,,,,,
333.0,True,,,,332.0,2.0,,,,,,
334.0,,,True,,,,,,,,333.0,2.0
335.0,,,,,,,,,,,,
336.0,True,,True,,335.0,2.0,,,,,336.0,1.0
337.0,,,,,,,,,,,,
338.0,,,,,,,,,,,,
339.0,,,,,,,,,,,,
340.0,,,True,,,,,,,,340.0,1.0
341.0,True,,,,340.0,2.0,,,,,,
342.0,,,,,,,,,,,,
343.0,,,,,,,,,,,,
344.0,,,True,,,,,,,,342.0,3.0
345.0,,,,,,,,,,,,
346.0,True,,True,,345.0,2.0,,,,,346.0,1.0
347.0,,,,,,,,,,,,
348.0,,,,,,,,,,,,
349.0,,,,,,,,,,,,
350.0,,,,,,,,,,,,
351.0,,,,,,,,,,,,
352.0,,,,,,,,,,,,
353.0,,,,,,,,,,,,
354.0,,,,,,,,,,,,
355.0,,,,,,,,,,,,
356.0,,,,,,,,,,,,
357.0,True,,True,,354.0,4.0,,,,,353.0,5.0
358.0,,,,,,,,,,,,
359.0,,,True,,,,,,,,359.0,1.0
360.0,,,,,,,,,,,,
361.0,True,,True,,360.0,2.0,,,,,361.0,1.0
362.0,,,,,,,,,,,,
363.0,,,,,,,,,,,,
364.0,,,,,,,,,,,,
365.0,,,True,,,,,,,,365.0,1.0
366.0,True,,,,365.0,2.0,,,,,,
367.0,,,,,,,,,,,,
368.0,,,True,,,,,,,,368.0,1.0
369.0,True,,,,369.0,1.0,,,,,,
370.0,,,True,,,,,,,,370.0,1.0
371.0,,,,,,,,,,,,
372.0,,,True,,,,,,,,372.0,1.0
373.0,True,,,,373.0,1.0,,,,,,
374.0,,,,,,,,,,,,
375.0,,,True,,,,,,,,375.0,1.0
376.0,,,,,,,,,,,,
377.0,True,,True,,375.0,3.0,,,,,377.0,1.0
378.0,,,,,,,,,,,,
379.0,True,,,,379.0,1.0,,,,,,
380.0,,,True,,,,,,,,380.0,1.0
381.0,,,,,,,,,,,,
382.0,,,True,,,,,,,,382.0,1.0
383.0,,,,,,,,,,,,
384.0,True,,True,,382.0,3.0,,,,,384.0,1.0
385.0,,,,,,,,,,,,
386.0,,,,,,,,,,,,
387.0,,,,,,,,,,,,
388.0,True,,,,386.0,3.0,,,,,,
389.0,,,,,,,,,,,,
390.0,,,,,,,,,,,,
391.0,,,,,,,,,,,,
392.0,,,True,,,,,,,,386.0,7.0
393.0,True,,,,390.0,4.0,,,,,,
394.0,,,,,,,,,,,,
395.0,,,,,,,,,,,,
396.0,,,,,,,,,,,,
397.0,,,,,,,,,,,,
398.0,True,,,,395.0,4.0,,,,,,
399.0,,,,,,,,,,,,
400.0,,,,,,,,,,,,
401.0,,,,,,,,,,,,
402.0,,,True,,,,,,,,398.0,5.0
403.0,True,,,,400.0,4.0,,,,,,
404.0,,,,,,,,,,,,
405.0,,,,,,,,,,,,
406.0,,,,,,,,,,,,
407.0,,,,,,,,,,,,
408.0,True,,,,405.0,4.0,,,,,,
409.0,,,,,,,,,,,,
410.0,,,,,,,,,,,,
411.0,,,,,,,,,,,,
412.0,,,,,,,,,,,,
413.0,,,,,,,,,,,,
414.0,True,,True,,410.0,5.0,,,,,408.0,7.0
415.0,,,,,,,,,,,,
416.0,,,,,,,,,,,,
417.0,,,,,,,,,,,,
418.0,,,,,,,,,,,,
419.0,,,,,,,,,,,,
420.0,,,,,,,,,,,,
421.0,,,,,,,,,,,,
422.0,,,True,,,,,,,,418.0,5.0
423.0,,,,,,,,,,,,
424.0,,,,,,,,,,,,
425.0,True,,,,418.0,8.0,,,,,,
426.0,,,True,,,,,,,,426.0,1.0
427.0,,,,,,,,,,,,
428.0,,,,,,,,,,,,
429.0,,,,,,,,,,,,
430.0,True,,True,,428.0,3.0,,,,,428.0,3.0
431.0,,,,,,,,,,,,
432.0,,,True,,,,,,,,432.0,1.0
433.0,,,,,,,,,,,,
434.0,,,,,,,,,,,,
435.0,True,,,,433.0,3.0,,,,,,
436.0,,,,,,,,,,,,
437.0,,,True,,,,,,,,437.0,1.0
438.0,True,True,,True,437.0,2.0,332.0,107.0,152.0,287.0,,
439.0,,,,,,,,,,,,
440.0,,,,,,,,,,,,
441.0,,,,,,,,,,,,
442.0,,,,,,,,,,,,
443.0,,,,,,,,,,,,
444.0,True,,,,440.0,5.0,,,,,,
445.0,,,True,,,,,,,,439.0,7.0
446.0,,,,,,,,,,,,
447.0,,,,,,,,,,,,
448.0,,,,,,,,,,,,
449.0,True,,,,446.0,4.0,,,,,,
450.0,,,True,,,,,,,,447.0,4.0
451.0,True,,,,451.0,1.0,,,,,,
452.0,,,,,,,,,,,,
453.0,,,,,,,,,,,,
454.0,,,,,,,,,,,,
455.0,,,True,,,,,,,,453.0,3.0
456.0,True,,,,456.0,1.0,,,,,,
457.0,,,,,,,,,,,,
458.0,,,,,,,,,,,,
459.0,,,,,,,,,,,,
460.0,,,True,,,,,,,,458.0,3.0
461.0,True,,,,461.0,1.0,,,,,,
462.0,,,,,,,,,,,,
463.0,,,,,,,,,,,,
464.0,,,,,,,,,,,,
465.0,,,,,,,,,,,,
466.0,,,,,,,,,,,,
467.0,,,,,,,,,,,,
468.0,,,,,,,,,,,,
469.0,,,,,,,,,,,,
470.0,True,,True,True,468.0,3.0,,,440.0,31.0,463.0,8.0
471.0,,,,,,,,,,,,
472.0,,,,,,,,,,,,
473.0,,,True,,,,,,,,473.0,1.0
474.0,True,,,,474.0,1.0,,,,,,
475.0,,,,,,,,,,,,
476.0,,,,,,,,,,,,
477.0,,,,,,,,,,,,
478.0,,,,,,,,,,,,
479.0,True,,True,,476.0,4.0,,,,,476.0,4.0
480.0,,,,,,,,,,,,
481.0,,,,,,,,,,,,
482.0,,,,,,,,,,,,
483.0,,,,,,,,,,,,
484.0,,,,,,,,,,,,
485.0,,,,,,,,,,,,
486.0,,,,,,,,,,,,
487.0,True,,True,,484.0,4.0,,,,,484.0,4.0
488.0,,True,,,,,440.0,49.0,,,,
489.0,,,,,,,,,,,,
490.0,,,,,,,,,,,,
491.0,,,,True,,,,,489.0,3.0,,
492.0,,,True,,,,,,,,489.0,4.0
493.0,,,,,,,,,,,,
494.0,,,,,,,,,,,,
495.0,True,,,,492.0,4.0,,,,,,
496.0,,,,,,,,,,,,
497.0,,,,,,,,,,,,
498.0,,,,,,,,,,,,
499.0,,,True,,,,,,,,496.0,4.0
500.0,,,,,,,,,,,,
501.0,,,,,,,,,,,,
502.0,,,,,,,,,,,,
503.0,True,,,,500.0,4.0,,,,,,
504.0,,,,,,,,,,,,
505.0,,,,,,,,,,,,
506.0,,,,,,,,,,,,
507.0,,,True,,,,,,,,504.0,4.0
508.0,,,,,,,,,,,,
509.0,,,,,,,,,,,,
510.0,,,,,,,,,,,,
511.0,True,,,,508.0,4.0,,,,,,
512.0,,,,,,,,,,,,
513.0,,,,,,,,,,,,
514.0,,,,,,,,,,,,
515.0,,,,,,,,,,,,
516.0,,,,,,,,,,,,
517.0,,,,,,,,,,,,
518.0,,,,,,,,,,,,
519.0,True,,True,,513.0,7.0,,,,,512.0,8.0
520.0,,,,,,,,,,,,
521.0,,,,,,,,,,,,
522.0,,,,,,,,,,,,
523.0,,,,,,,,,,,,
524.0,,,True,,,,,,,,524.0,1.0
525.0,,,,,,,,,,,,
526.0,,,,,,,,,,,,
527.0,True,,,,524.0,4.0,,,,,,
528.0,,,True,,,,,,,,528.0,1.0
529.0,,,,,,,,,,,,
530.0,,,,,,,,,,,,
531.0,,,,,,,,,,,,
532.0,,,,,,,,,,,,
533.0,,,,,,,,,,,,
534.0,,,,,,,,,,,,
535.0,True,,True,,532.0,4.0,,,,,533.0,3.0
536.0,,,,,,,,,,,,
537.0,,,,,,,,,,,,
538.0,,,,,,,,,,,,
539.0,,,True,,,,,,,,537.0,3.0
540.0,,,,,,,,,,,,
541.0,,,,,,,,,,,,
542.0,,,,,,,,,,,,
543.0,True,,True,,540.0,4.0,,,,,541.0,3.0
544.0,,,,,,,,,,,,
545.0,,,,,,,,,,,,
546.0,,,,,,,,,,,,
547.0,,,True,,,,,,,,545.0,3.0
548.0,,,,,,,,,,,,
549.0,True,,True,,548.0,2.0,,,,,549.0,1.0
550.0,,,,,,,,,,,,
551.0,,,True,,,,,,,,551.0,1.0
552.0,True,,,,552.0,1.0,,,,,,
553.0,,,,,,,,,,,,
554.0,,,,,,,,,,,,
555.0,,,,,,,,,,,,
556.0,True,,,,556.0,1.0,,,,,,
557.0,,,,,,,,,,,,
558.0,,,,,,,,,,,,
559.0,,,,,,,,,,,,
560.0,,,,,,,,,,,,
561.0,,,,,,,,,,,,
562.0,,,,,,,,,,,,
563.0,,,True,,,,,,,,556.0,8.0
564.0,True,,,,564.0,1.0,,,,,,
565.0,,,,,,,,,,,,
566.0,,,,,,,,,,,,
567.0,,,,,,,,,,,,
568.0,True,,,,568.0,1.0,,,,,,
569.0,,,,,,,,,,,,
570.0,,,,,,,,,,,,
571.0,,,True,,,,,,,,568.0,4.0
572.0,True,,,,572.0,1.0,,,,,,
573.0,,,,,,,,,,,,
574.0,,,,,,,,,,,,
575.0,,,,,,,,,,,,
576.0,True,,,,576.0,1.0,,,,,,
577.0,,,,,,,,,,,,
578.0,,,,,,,,,,,,
579.0,,,True,,,,,,,,576.0,4.0
580.0,,,,,,,,,,,,
581.0,,,,,,,,,,,,
582.0,,,,,,,,,,,,
583.0,True,,True,,580.0,4.0,,,,,583.0,1.0
584.0,,,,,,,,,,,,
585.0,,,,,,,,,,,,
586.0,,,,,,,,,,,,
587.0,,,,,,,,,,,,
588.0,,,,,,,,,,,,
589.0,,,,,,,,,,,,
590.0,,,,,,,,,,,,
591.0,,,,,,,,,,,,
592.0,,,,,,,,,,,,
593.0,,,,,,,,,,,,
594.0,,,,,,,,,,,,
595.0,True,,True,,588.0,8.0,,,,,588.0,8.0
596.0,,,,,,,,,,,,
597.0,,,,,,,,,,,,
598.0,,,,,,,,,,,,
599.0,,,,,,,,,,,,
600.0,,,,,,,,,,,,
601.0,,,,,,,,,,,,
602.0,True,,,,602.0,1.0,,,,,,
603.0,,,,,,,,,,,,
604.0,,,,,,,,,,,,
605.0,,,,,,,,,,,,
606.0,,,,,,,,,,,,
607.0,,,,,,,,,,,,
608.0,,,,,,,,,,,,
609.0,,,,,,,,,,,,
610.0,,,,,,,,,,,,
611.0,,,True,,,,,,,,603.0,9.0
612.0,,,,,,,,,,,,
613.0,,,,,,,,,,,,
614.0,,,,,,,,,,,,
615.0,,,,,,,,,,,,
616.0,,,,,,,,,,,,
617.0,,,,,,,,,,,,
618.0,,,,,,,,,,,,
619.0,True,,,,612.0,8.0,,,,,,
620.0,,,,,,,,,,,,
621.0,,,,,,,,,,,,
622.0,,,,,,,,,,,,
623.0,,,True,,,,,,,,620.0,4.0
624.0,,,,,,,,,,,,
625.0,,,,,,,,,,,,
626.0,,,,,,,,,,,,
627.0,True,,True,,624.0,4.0,,,,,627.0,1.0
628.0,,,,,,,,,,,,
629.0,,,,,,,,,,,,
630.0,,,,,,,,,,,,
631.0,,,,,,,,,,,,
632.0,,,,,,,,,,,,
633.0,,,True,,,,,,,,629.0,5.0
634.0,True,,,,634.0,1.0,,,,,,
635.0,,,,,,,,,,,,
636.0,,,True,,,,,,,,636.0,1.0
637.0,True,,,,636.0,2.0,,,,,,
638.0,,,,,,,,,,,,
639.0,,,,,,,,,,,,
640.0,,,,,,,,,,,,
641.0,True,,,,639.0,3.0,,,,,,
642.0,,,,,,,,,,,,
643.0,True,,True,,643.0,1.0,,,,,642.0,2.0
644.0,,,,,,,,,,,,
645.0,,,True,,,,,,,,645.0,1.0
646.0,True,,,,646.0,1.0,,,,,,
647.0,,,,,,,,,,,,
648.0,,,,,,,,,,,,
649.0,,,,,,,,,,,,
650.0,,,True,,,,,,,,647.0,4.0
651.0,True,,,,651.0,1.0,,,,,,
652.0,,,True,,,,,,,,652.0,1.0
653.0,,,,,,,,,,,,
654.0,True,,,,654.0,1.0,,,,,,
655.0,,,,,,,,,,,,
656.0,,,,,,,,,,,,
657.0,,,,,,,,,,,,
658.0,True,,,,658.0,1.0,,,,,,
659.0,,,True,,,,,,,,658.0,2.0
660.0,True,,,,660.0,1.0,,,,,,
661.0,,,,,,,,,,,,
662.0,,,,,,,,,,,,
663.0,,,,,,,,,,,,
664.0,,,,,,,,,,,,
665.0,True,,True,,663.0,3.0,,,,,662.0,4.0
666.0,,,,True,,,,,493.0,174.0,,
667.0,True,True,,,667.0,1.0,667.0,1.0,,,,
668.0,,,,,,,,,,,,
669.0,,True,,,,,669.0,1.0,,,,
670.0,True,,,,670.0,1.0,,,,,,
671.0,,,,,,,,,,,,
672.0,,,,,,,,,,,,
673.0,,,True,,,,,,,,671.0,3.0
674.0,True,,,True,674.0,1.0,,,669.0,6.0,,
675.0,,True,,,,,675.0,1.0,,,,
676.0,,,True,,,,,,,,676.0,1.0
677.0,True,,,,676.0,2.0,,,,,,
678.0,,,,,,,,,,,,
679.0,,True,,,,,679.0,1.0,,,,
680.0,True,,True,,680.0,1.0,,,,,680.0,1.0
681.0,,,,,,,,,,,,
682.0,True,,,,682.0,1.0,,,,,,
683.0,,,True,,,,,,,,683.0,1.0
684.0,True,,,,684.0,1.0,,,,,,
685.0,,,,,,,,,,,,
686.0,True,,True,,686.0,1.0,,,,,686.0,1.0
687.0,,,,,,,,,,,,
688.0,,,,,,,,,,,,
689.0,,,,,,,,,,,,
690.0,,,True,,,,,,,,688.0,3.0
691.0,,,,,,,,,,,,
692.0,,,,,,,,,,,,
693.0,True,,,,691.0,3.0,,,,,,
694.0,,,,,,,,,,,,
695.0,True,,True,,695.0,1.0,,,,,694.0,2.0
696.0,,,,,,,,,,,,
697.0,True,,,,697.0,1.0,,,,,,
698.0,,,,,,,,,,,,
699.0,,,,,,,,,,,,
700.0,,,True,,,,,,,,697.0,4.0
701.0,True,,,,701.0,1.0,,,,,,
702.0,,,,,,,,,,,,
703.0,,,True,,,,,,,,703.0,1.0
704.0,True,,,True,703.0,2.0,,,679.0,26.0,,
705.0,,True,True,,,,705.0,1.0,,,705.0,1.0
706.0,,,,,,,,,,,,
707.0,,,,,,,,,,,,
708.0,True,,,,706.0,3.0,,,,,,
709.0,,,True,,,,,,,,709.0,1.0
710.0,,,,,,,,,,,,
711.0,,,True,,,,,,,,711.0,1.0
712.0,,,,,,,,,,,,
713.0,,,,,,,,,,,,
714.0,,,,,,,,,,,,
715.0,,,,,,,,,,,,
716.0,,,,,,,,,,,,
717.0,,,,,,,,,,,,
718.0,,,,,,,,,,,,
719.0,True,,True,,717.0,3.0,,,,,717.0,3.0
720.0,,,,,,,,,,,,
721.0,,,,,,,,,,,,
722.0,,,,,,,,,,,,
723.0,,,,,,,,,,,,
724.0,,,,,,,,,,,,
725.0,True,,True,,723.0,3.0,,,,,723.0,3.0
726.0,,,,,,,,,,,,
727.0,,,,,,,,,,,,
728.0,,,,,,,,,,,,
729.0,,,,,,,,,,,,
730.0,,,,,,,,,,,,
731.0,True,,True,,729.0,3.0,,,,,729.0,3.0
732.0,,,,,,,,,,,,
733.0,,,,,,,,,,,,
734.0,,,,,,,,,,,,
735.0,,,,,,,,,,,,
736.0,,,,,,,,,,,,
